tweet_id,sentiment,author,content
1956977624,worry,alexsnaps,feeling pack hit so time year think miss
1956978276,empty,Aggie9,middle school elm high school remain open need credit graduate cali break
1956978410,worry,TannerMade,bed time hope school tomorrow feel right
1956978668,worry,bryancheung,ah hope learn stuff way work separate thing
1956979150,sadness,rionne,have problem photo twitter am can't face
1956979437,neutral,shenamygans,oh noo blow tire really go send batman smoke
1956979756,neutral,ryarellano,wanna bath
1956979894,neutral,lookitsholly,chocolate milk well straw lack say straw
1956979900,worry,a_schmel,tired
1956979917,empty,Dreness023,hey yu lil fucker text yu
1956980788,neutral,nathaliep,time diff wrap day day stuff it tweet talk soon sleep 6hrs
1956980883,neutral,hollywoods500,way damn suck i ok
1956980972,worry,syl3nt,suck able day work money trip sad
1956981427,enthusiasm,Caillie,bed sorta today good sara strep think angelina share water be tell prob
1956981850,neutral,robuttley,recession hotel restructure account add bit pressure short term cope
1956982075,neutral,minamic,get dibs sulu
1956982383,sadness,Ameeee,aww onward upwards yay sad leave bet
1956982449,worry,DawnofOURnight,haha poor aby get sore
1956982576,sadness,kShadhavar,diesel yards 70mpg sad available awesome
1956982605,sadness,Diyeni,want buy great album unfortunately it hav enuff fund quit long time noisy quit
1956983160,sadness,crittyjoy,honesty pain blech
1956983171,sadness,paulyum,ok passenger alive dead know til end cry
1956983467,neutral,njc87,home
1956983509,worry,heyitsmisti,ia happy cook choice single
1956983690,sadness,Trishalove,fall asleep beach sunscreen lol
1956983851,worry,sweetkisses277,think son flu cause def clean stanky puke mess poor pumpkin
1956983874,happiness,joia,great oin amp cynthia happy dinner great cute little place bad oin get sick
1956983931,neutral,MunkyMunch,it day nudge
1956984185,worry,HarryLyme,woman transfer impression sexual maternal threaten man weak
1956984205,neutral,chicabajoelsol,brother bloom wo open weekend el paso buy brick enjoy watch brother bloom
1956984559,neutral,Marielii,say miss plurke
1956984864,worry,Amantou,bite blood cat way rabid bacteria 7 shot 2 month wash cat home hate water
1956984894,neutral,Chai_Bo,miss voobys
1956985129,neutral,Cookphotos,elp
1956985535,happiness,quarrygirl,dude favorite sandwich place umm picture
1956985612,worry,juliehuang,sad shin ae get marry alex
1956985758,worry,jazz_angela,sure tweet news abuzz to knight leave quit confirmed quit today muy triste
1956985764,sadness,Samm_xo,oh thursday exam day wednesday
1956985973,neutral,ssabz,mix dentist app afternoon reschedule tomorrow 9
1956986211,sadness,metaphysical1,think excited guy realize sad
1956986359,worry,bittenbyte,good moore people sun definitly spring spring hail storm car dimple
1956986767,sadness,AshLaws,love it'sakey usb stick 4 go australia
1956987381,worry,supkeke,fresh prince sleepy sleep nightly routine get ta dev early tmrw
1956987600,hate,naterkane,dammit hulu desktop totally screw ability talk particular port dev server watch code
1956987828,worry,palomalopes24,jealous mom talk want twittering make miss
1956987904,worry,creativevixen86,sleep think puppy play today
1956987950,worry,smiles4dayyz,suppose sleep get amp get song stick head quit your jerk iknow quit blaahh
1956988145,neutral,padfootly,go sweetheart
1956988218,neutral,callatya,freak difficult system wide spellchecked shit settle office suite stupid unhelpful window
1956988223,worry,kabilan,month summer strawberry available chennai market
1956988477,neutral,enlightenthem,work 6 get ta bed soon
1956989093,love,Angela_Grace,correct adore pluck arm cuz cryin well hahaha
1956989514,sadness,yellowduckx,hii i ipod it fall asleep
1956989526,sadness,KaKuBby,it wanna work 11 830 tomorrow pay
1956989560,sadness,benchidol,feel sad coz it able play guy
1956989561,neutral,outrAjusCharmer,princecharme
1956989601,hate,M0anique,cayogial want come be summer sure anymore teacher life summer suck
1956989914,worry,Fowl2,drop mobile charge datum data pack
1956990288,hate,MissPassion,win sigh hakeem
1956990413,neutral,Wendywitwoo,oh time real
1956990568,sadness,sarah_walter,darn allergy like time year problem
1956990729,worry,marpizza,oh minute late oh
1956991009,hate,rdyfrde,damn suck
1956991673,sadness,M0anique,want come be summer sure anymore teacher life summer suck
1956991704,hate,Tweetyangie,website give virus open window keep pop
1956991723,worry,briwyatt,ah big scary bug fly room
1956992030,sadness,mafiaman8108,wish know put steal heart give occasionally like like look
1956992144,worry,Margotkay,nasty cough it sick huge weekend ahead
1956992349,neutral,jarekpastor,stone cold crazy
1956993007,boredom,villa_ld,tired
1956993080,neutral,cheiyinkeithsui,shift time bye biochem waah
1956993206,neutral,dashdragan,sure some cum play workin til midnight
1956994067,neutral,lockerhaxor,second wish rain
1956995196,sadness,jnvelasquez912,early happy day birth case tired therapy today i take medicine isshu love ya
1956995505,neutral,twakatovsrocks,damn eric need hair play
1956995679,neutral,jmil1733,feel deflated ugh dog
1956995762,sadness,foxtail84,allergy suck duck nuts
1956995852,neutral,ErikaAlexxis,good day guess retry tomorrow
1956996081,hate,snursalim,warau tasteless expensive portion little warau
1956996385,love,votech,sound good appreciate suggestion week offline time ask refund
1956996470,worry,ohmygoshnina,die wait magic jack read
1956996673,hate,Merekdavis,youstinkatrespondingtotext
1956996730,sadness,Rowch,wonder karma point turn 0 00
1956996765,happiness,rarmendariz,need pack cali cali wait think glass wine order celebrate weekend vaca work morrow tho
1956996776,sadness,KitaCupcake,miserable feel like i gona cry sux
1956997143,neutral,louiethecat,run beer leave sure eta wait wait wait bleh gon na long nite methink
1956997352,worry,1azylizzie,nose stud fall find look like head amsterdam today new
1956997619,neutral,kudosbeauty,claire love get office 5 radio
1956998370,love,rockinchick11,pat philly 2 love my cheesesteak miss boyfriend love vacation
1956998532,sadness,katienaas,sigh go bed feel right anymore
1956998538,neutral,jeannicole,focus tom beloved barack oh vote poor president 626 vote
1956998698,neutral,FoOie,epicentre wheelock place tourist
1956998704,sadness,sillynic,depressed watch think dance
1957000040,sadness,minauderie,cross cause stuck twiddle thumb ugh
1957000077,neutral,danzjoe,miss 16'th
1957000152,neutral,RoxieDax,know like say idea long take investigate stuff
1957000290,worry,Ohtybaby,it sleep i sore
1957000314,neutral,Phenikone,awe miss baby
1957000336,empty,Gen22,answer you learn write french basic stuff
1957000372,neutral,cv70,chocolate
1957000788,worry,zpavic,achieve new appreciation aml build script painful cumbersome
1957001049,neutral,amy__xx,awake ill nap afternoon
1957001370,worry,katlovesjoelk,it
1957001496,neutral,miss_sammi,need 6 hour sleep
1957001506,relief,benmfowler,work
1957001854,fun,Samiijoo,rip leonardo great mini fiddler crab
1957001967,neutral,mozwold,morning tweedle way early
1957002082,sadness,V0NST3V3,day work uni today sad time
1957002773,love,UncoolRockstar,thank neemah gon na soo close izzy far
1957002923,worry,indpndentgirly,head hurt bad scream
1957003048,worry,rianne_kelsey,i tired airmatra break i pain
1957003356,worry,nettlej,new work wellness challenge go commit check email 10 am 6 fail day twice
1957003440,worry,autotips,new blog post blog auto insuran find auto insurance policy expire careless mean
1957003715,neutral,BlaqueBeautyy,ma bestfriend mia wat
1957004184,worry,rionne,oh men face c'mon guy
1957004519,worry,asteinke,show age renew tag week go 20 get insurance renewal email today go 100 wanna old
1957004606,worry,riannasc,sole supporter sole supporter
1957004749,hate,golden_one,hate finish work 1 25 hour leave work time
1957005165,worry,RebeccaBrunner,urgh stop guy
1957005226,sadness,GiselleLee,miss husband want home
1957005279,sadness,PYTDavis,miss puppy
1957005410,surprise,HIM357,2 day month leave 400 my leave onpeak download
1957005696,fun,nickhalme,memo look amazing
1957005713,sadness,smilyross,give pizza kid let fav hot one
1957005817,worry,JBabyLove,read tabloid people life think gon na baby leave
1957006033,sadness,klybob,yearling pet home die sad family
1957006074,neutral,rnbprincess79,fun sun him hell cold
1957006098,worry,puelladei,get giant splinter stick underneath finger nail today muppet hurt get aid time
1957006245,sadness,bella_facia,hate change course fan life it 3 oh meet rob go horribly wrong
1957006307,worry,ninz_0214,feel sad reason
1957006547,sadness,spookychan,fuck new pain med odd warning actually apply chan displeased
1957006674,sadness,nel5on,upload new blog painful story 80 year old man cry want die sad
1957006725,neutral,andrewjennings,think want detail
1957006830,neutral,AddITame,hi mary poppin
1957006947,worry,miiiiiiike,addicting kind curse night time everytime feel like make music
1957007167,neutral,Dillontate,tweet send bad phone
1957007268,fun,EmaMolly,omg ur alive lol day go soo slow go insane err tonight
1957007357,empty,_SNO_,headache go bed goodnight
1957007394,neutral,jarekpastor,watch parental control
1957007437,fun,grrimadinox,california vintage ahahah good dress want it ebay
1957007633,sadness,IAmYourDensity,see pic past thanksgiving sad grandma
1957007981,worry,MunkyMunch,wo it let
1957008075,sadness,Inamint,take shift tomorrow feel like work right
1957008193,sadness,kimchiipanda,money phone
1957008287,worry,KarlOnSea,spend night a amp e er wife tangle wheel daughter amp hit deck dislocation amp fracture result
1957008292,worry,RoseMarionTyler,9 day ready visit torchwood hear
1957008434,surprise,Just_Cath,bris hear thunder
1957008478,surprise,bekahjayne,bec is fat food winner fat food weekend ill beat
1957008498,sadness,CathyDohling,bad red devil disappoint
1957008766,surprise,shutitoff,dream pretty pretty beach beach wake
1957008802,sadness,pfak,aware 9650se fast ex x25 i sad raid 800mhz top hit try adapted 5405 1 2ghz
1957008987,surprise,lilTanker,da heck garage man ask
1957009454,worry,woahitsJana,eat mandy forgive sorry wanna lose off
1957009666,hate,wendyisastar,umm yeah probably pretty good note self eww
1957010072,worry,tiffalo,plane ticket expensive
1957010329,fun,NoteRobot,umm yeah probably pretty good note self eww
1957010415,worry,trina3mg,need job badly
1957011291,sadness,ABCeCe,daammnn wish
1957011738,worry,ignoredt,go di bella coffee roaster today ask job person need speak holiday
1957012476,sadness,nickhalme,play part voodoo village co op lose usual partner
1957012535,empty,SexyBeach,nite i bored oppose sleep from i 4
1957012769,sadness,ditzyfrenchfrys,bad friend
1957013149,neutral,cheeseyy,happy birthday hope awesome day night
1957013166,hate,jupzchris,i shit right i vacation get workin
1957013488,neutral,LetitiaIvy,ill oir
1957013697,neutral,Labellajuicy,guess girlie gym work 6 30am
1957013723,hate,babygurl0791,wish severe migraine stop doc prescription it work
1957013804,love,jammmaster1021,miss game
1957013885,sadness,debraladiva,internet night er brill massive explosion end nearby gas work er standby
1957013895,hate,kkjordan,cuz airline super lame
1957013896,sadness,sigitt,pity come lamb
1957014267,sadness,Karoli,sorry hear optimist thing well
1957014389,relief,misscinders,paint bedroom furniture table wait ugh move heat
1957014493,hate,Taynted_lyfe,tired insomnia
1957014517,neutral,dalastmil62,hungry fool ill probably krispy kreme enjoy close
1957014653,neutral,sloanquigley,airport it tonight homo
1957014706,hate,butteredninja,hate bakersfield hate port let home want start vacation
1957015287,neutral,skk123,
1957015475,neutral,WgtnCoffeeCup,look desktop twitter app actually let access url suggestion like wittle linking
1957015719,worry,dancingwithself,people house know close door
1957016086,surprise,chrisshennan,complete facebook quiz time morning especially friday morning
1957016169,neutral,thatonebroad,amp soo hungry
1957016339,worry,R_nB,like possibility left brain hurt thing call up shunt possible death
1957016697,sadness,fritoleva,cancel wow
1957016818,worry,PnkRckGirl97,want music profile money know write music know play instrument studio
1957017164,sadness,RoxieDax,yeah i'm sad quit ravenclaw quit account love account bit
1957017177,worry,KCSuzy,1 15 hear helicopter fly house kind weird news headache boo
1957017320,worry,xSpotlighted,oh it 3
1957017333,neutral,serinurshira,school is shana day it ou okay play altnoy
1957017486,neutral,skypen,poll try work powerpoint avail
1957017522,happiness,Davislb921,take math test today day test teacher say bring calculator luke confident teacher decide calls
1957017595,happiness,c10gg3rgirl,omg concert awesome madrigal give chill piece brook call alumnus it
1957017610,neutral,thetoughsams,yeah terrible cockatoo hard live emotional good thing find
1957018061,sadness,lsvdmbfan,late nothin 2
1957018162,worry,leilanire,think dog make sicker think feel slightly achy
1957018678,empty,oohZOE,watch harper island lol vodka involve
1957019034,worry,monkeylover96,homework sux big time math bad
1957019121,neutral,portablegamer,well limo let play 3 song provide start quit get it quit black
1957019458,neutral,RefinedCaliber,start
1957019556,sadness,JMarmo13,wish thing way beginning summer
1957019715,worry,Mrs_Jackman,download new twitterfon update thinking fix typing problem new tweet
1957019766,empty,retroglo,trudy burnet north go
1957020180,sadness,ChickenNuggets,feel way guess matter meme
1957020385,happiness,itspaigepenales,can i 30 minute treadmill 30 minute today gon na 20 minute
1957020390,worry,Karmenyl,soo confused
1957020593,neutral,anbudan_BALA,friend like aiko nedumaran late need enemy wrong advice wrong time lead numerous death amp lose cause
1957020624,worry,Tonysize,work day 7 7
1957020702,happiness,HD_Fury,chillin roomie wait zombie clown or gon na 6 8 week
1957020861,neutral,BritishAtHeart1,love guitar play think sound magnificent well
1957021039,worry,Musti08,refund retrieve account take like week hope thief use hack permaban
1957021224,neutral,la_oooo_ra,i cry lol
1957021305,sadness,AndyClaudine,cute malay girl come seemy room rent sadly think guyfreind bit misleading disappointing lol
1957021321,surprise,FoOie,epicentre wheelock place 250 unit amp tourist start today
1957021486,hate,karissaferg,hate new it dew commercial giant mosquito scare gross time
1957021631,neutral,KittyPoops,come knight 4 hour
1957022610,worry,leonperkin,super keen drive home rain additional concentration require wanna deal
1957022799,surprise,dan11ela,aw u let secret
1957023061,surprise,MissxMarisa,i sorry think stick compare look like
1957023133,worry,AmyFuentes,transport church wo it make i crush oh time assignment suppose throat hurt
1957023263,hate,youulovemee,hate pregnant woman smoking soo irresponsible i selfish said ultimately baby suffer
1957023739,hate,Tin06,lie lie lie it avoid lie practically
1957023842,neutral,hoolahoopchick,twittascope rock sock away
1957023917,neutral,schlingel,drive home forget piece cake
1957024334,worry,o0hmaig0d,try jump trampoline like thud thud eat cookie
1957025428,sadness,lungjen,everytime send email coach feel need practice shitty ball lol
1957026475,sadness,annamaurice,piss let follow erica
1957027495,sadness,FreddyS87,go sleep peaceful want hear good night happen good night
1957027630,sadness,CforrClemmensen,mum try feel better stop voting adn win shortstack cry
1957027687,neutral,lucasd,close taco spot late
1957027841,empty,730Fam,umm bout em aint 2 da game dey survive anothe game da series notion lebron i guessing
1957028656,surprise,Fairywinds,think work
1957028775,worry,MllexCamelia,forget live bona brother facebook
1957028895,sadness,d0nnadean,see muffin day
1957029111,sadness,InNoSenseLost,miss y regard
1957029634,surprise,maddy_1212,gap year go quick
1957029641,worry,jocelleuntalan,admit bit bummed friend walk today
1957029899,neutral,tokyojackson,girl blunt soo thought right absolutly great day stressor come home
1957030196,worry,SoSpoiledDatsMe,twitter hack
1957030545,sadness,faddict,find my mouse flat des course leave size
1957030596,neutral,PULLINGTEEETH,wo it time buy need new binder pa
1957030622,hate,sharnanicole,hahaha try ugly
1957030793,neutral,aeria_gloris,25 man ulduar hard
1957031520,worry,Intel_Eric,want know know vhemt miss
1957031859,fun,KylieMalchus,awesome weekend move sit lot fun
1957032014,neutral,Simranvfc,night night twitter world it believe thomas thing tomorrow gunna fun sad
1957032051,neutral,allieeeec,happen
1957032114,surprise,johnnypurple,oh hug
1957032127,neutral,minauderie,bore talk busy kinda bummer ink
1957032228,sadness,tiffanylue,knoww thing wo same it 3
1957032539,worry,tweeterchic66,omg ness 11 18 am need beep early set garage sale start 8 wish say 9 beat
1957033043,happiness,carlysialevert,kno doo y partying
1957033103,worry,sjwilling,okay twitter suddenly change respond message
1957033219,neutral,mstellacrap,ugh dad tell read article kava shivashankar spelling bee girl like
1957033558,worry,Rossco_NZ,decide matter good hair look curly justify burn curler hand cover suck
1957033776,sadness,vivianenguyen,go sleep gon na fall asleep play app tmrw go suck
1957033815,neutral,ANDREAMARIEXOXO,yea get ta 7 30
1957033874,hate,Lilixbabi3,hate of beat da dog guess way teach pitt
1957033901,worry,ACjoint,sprain ankle like badly tear stuff hurt birthday weekend
1957034202,sadness,JohnnyFiction,believe metal gear solid song steal disappointed
1957034289,hate,kimba1bl,think break toe bar tonight thank drunk girl steppin
1957034434,neutral,dawnoftheprawn,sale today work explore balcony big theater i coworker fun day void chili fry tip
1957034566,sadness,mara_nerdgirl,wish leave 4 dead need play
1957034940,neutral,mommyanjayyy,
1957034983,neutral,djcosta1977,story remind live portugal
1957035419,neutral,twinkleval,diabetic dad amp sure allow eat sugar day
1957035564,happiness,rondhi,spill beer leg waste half beer home meet cute girl good conversation
1957035950,hate,geezitslouize,roommate love ignore
1957036183,neutral,LizSkoczylas,nachos tomorrow well
1957037405,neutral,cynthiaperez,yeah amp dont judge pillow
1957037860,relief,oh_slc,scary lightning thunder glad go sleep hope late school tomorow haha
1957038324,sadness,judez_xo,tooth head hurt
1957038398,sadness,christynnicole,hate rob zombie movie amp smell weed comm
1957038470,hate,No1PanicFan,math science strong think dunno bout geography like 1 day study 1 2 year work
1957038475,boredom,kameezy,wait line tryst
1957038477,worry,LinksMommy,hope job cuz need apartment drunk amp miss lil punkin the
1957038763,worry,xxkxx07,get home want read chapter breaking dawn cause it want beaver
1957038970,worry,melissacalderon,need hold unite
1957039203,worry,megan_kelli,hang sam billy veronica go school tomorrow sam body shop dang car accident
1957039456,sadness,trixbiscuits,arrest development sad
1957039841,neutral,Elliecopter_,wicked time leave come it stay night
1957039894,sadness,TheNewBradie,omg lose follower sad want 90 day that goal i
1957039922,sadness,jmil1733,feel deflated doggy
1957039947,worry,Ennjo,wanna hair i
1957040172,sadness,kourt_1023,trash mac difficult thing life 8 00 picture go
1957040395,sadness,joe_uberkawaii,i contact paw philippine find quit tiger quit new owner i sad love dog soo
1957040988,sadness,xxkxx07,get home want read chapter breaking dawn cause it want
1957041569,worry,searchformatt,aww pray arroyo family
1957041648,neutral,ssanyal,manual process take never outlook database off crappy msft product
1957041745,sadness,ROBOKAWAII,fudge movie store close
1957041767,sadness,courtneyyy3,alo sad quiet tonight
1957041812,hate,MissxMarisa,hahahaha horrible singe sure work wish afford drum set
1957041856,worry,Kgreenel,answer do send need info
1957042008,worry,kharise,try pilot season friday night light oh gosh pass tissue
1957042316,sadness,heartbeam,aw head cancel trip aussie
1957042474,worry,andimoonpie,cystic lacrimal infectection eye face swollen hurt
1957042509,worry,thecareysisters,think catch
1957042579,empty,rebekahlynne,need sleep tired
1957042734,empty,Kayleia,0
1957042799,neutral,sparklyrainbowz,oh nevermind think thing unsalvageable
1957042862,neutral,Kaxiee,lying bed far early
1957043226,sadness,lindseyrivera,sad christian lacroix file bankruptcy
1957043241,sadness,princessniki1,it feel good fuck
1957044366,boredom,snoopync18,agree work double shift
1957044680,worry,SomeThingTiny,look like zoo
1957044694,worry,ABabyBlueEyes,oh poor girl email rely october my
1957044783,neutral,brianalotto,medhurst play
1957044789,worry,GothWab,bad time
1957044935,hate,helenmurdock,aarrgghh fu i hose leak water new float floor
1957045395,sadness,DudeAsInCool,dreaded dev tomorrow
1957045641,neutral,kbeilz,bit ben thai ed
1957045692,happiness,Fredrikkk,english class work interactive oral
1957045940,worry,dzgraphicdesign,thank rec work
1957046053,neutral,alexandraduggan,sorry excited tomorrow night karaoke get special day
1957046090,worry,TweedyLynn,puppy gizmo his haha growl look long purple scar fingie
1957046631,worry,Atheprincez,know i work tomorrow wit body di sore ugh
1957046815,neutral,md_alston,7 11 i o
1957047408,neutral,kbeilz,yeah plus little far walk pinocchio sushi
1957047569,worry,kilrturkey,feel pressure head kick nasty headache look forward
1957047571,sadness,marissazaguirre,taylor swift joe bona look good kinda sad break
1957047787,worry,CherTwinkles,suppose turn sentence outline research paper hour online neck hurt
1957047828,worry,5Neezy,lady way miscarriage prayer
1957048027,sadness,imsoapee,god want sleep
1957048703,hate,JBMareMareJB,oh thunderstorm boo power
1957048870,worry,jmil1733,feel deflated doggy
1957049167,sadness,theangelicsin,find book start real paper bound journal tonight annoying zit lip make look like here
1957050633,hate,STAR13R,rate rock nashville tonite thing suck encore like 80 fun pearly hott bad boy look
1957050684,worry,Suemagoo01,feel bad get bad news mum
1957050747,sadness,Nick_Myndflip,dun wanna
1957050890,sadness,queenbmakeup,damn girl ya get ta let know kit amp get flyer weekend i quit i
1957051517,sadness,sloanquigley,del boo sick flippin blow hahaha kno it friend feel lame haha
1957052167,neutral,Fluffy_Cupycake,i think time gon na 1
1957052211,neutral,echothirteen,peep fun time get ta sleep tho work a i cool hot chick cool miss
1957052409,worry,divya084,feel like work think tweet
1957052932,sadness,shaghayeghhh,feel sick stomach idkk why
1957053170,worry,Tania_Satine,vineri nimic special sau probabl un alt weekend pierdut
1957053247,neutral,Roblex,count hour lose sunshine weekend
1957053338,surprise,savindotme,dude see of pic look like mini excursion pretty kick ass sun tho
1957053409,relief,gangstamittens,home safely hungry
1957053566,sadness,Anime81,um throw van yesterday take er
1957055178,worry,dolphin8772,get final table go think get free seat
1957055396,neutral,girlyghost,good morning work morning gutter lol nevermind
1957055530,hate,TK04,work morning friend party stupid berry lite flash red message
1957055981,happiness,montanaspeaks,fu bore wanna sing right
1957056027,sadness,joslinjewels,link work
1957056041,neutral,AmyJade,hahaha know power lol live bubble
1957056896,worry,cadences,humpalow um ya think cell die
1957057026,worry,omaroonie,day work sick bone
1957057469,worry,ohsht,feel like house arrest
1957057586,neutral,m_y16,love like war easy begin hard end fiuuhh
1957058130,surprise,iamQuest,ur suppose be tho
1957058219,worry,ecctv,know shortage shell crab use beach beach bomber sad
1957058436,surprise,Miiiiich,oh nighty night
1957058504,happiness,neovile,new music wo sleep chapter 1 die hurry
1957059348,sadness,chubbbie,stupid tooth hurt
1957059587,love,Pretty_Edgie,love song quit together quit quit his quit song think
1957059671,neutral,D_MiKeY,ready school
1957059917,sadness,MelissaWOOF,computer break break laptop use phone ah cause fuck order
1957060283,neutral,mizzlizwhizz,good holiday chalet sight look i similar one go home today
1957060439,worry,Aeonflux21,sad economy hear friend lose job sad reminder
1957061418,worry,ashleeadams,start feel panicky anxious bad happen cos like age
1957061527,worry,morganis_21,dog run away
1957061884,hate,caitimac,suck bad
1957062262,worry,Flergs,molar extract swollen face numb toothache sinus pain
1957062621,relief,antonywu,finish 8 hour texas life insurance ce tonight 22 hour
1957062676,worry,iamsarahkelley,know good rap song need rap fun ad idea hellpp
1957062698,love,ShirleyValverde,want peru summer ah hopefully yesyesye miss
1957062783,empty,moikusmanruzuar,happen maid quit
1957062827,sadness,SamG2020,awake anybody awake wish live fun happen asleep
1957063783,hate,Craz_Monkay21,charge power lol damn savemart lose power buy beer
1957063845,sadness,nadanada,heedee love tired
1957064177,worry,q_ueenie,mobile phone refuse charge battery break charger boo
1957064253,worry,katiebisson,oh wish sign send let meet
1957064566,worry,Monica2112,him think u sleep bad video tomorrow night
1957064575,sadness,barbieprincess,morning sorry go early night bad news feel totally crap today new day
1957064578,empty,samantha_x,go beach start rain
1957064908,sadness,Sh33na_C,wish parent chinese school young easy job
1957065570,relief,davidbarrett1,yeah physically move apparently report directly my hayward
1957065963,neutral,sloanquigley,airport it tonight homo
1957066120,worry,bozackula,jealous look like schindler list toronto
1957066701,enthusiasm,FinIsKing,want tatt
1957067386,neutral,maneeraj,come rock leave bah i
1957067779,enthusiasm,Maureen12683,need lot money tomorrow
1957067988,sadness,whaaalian,room make sad
1957068229,worry,the1germ,nearly fall asleep jolt bed massive panic attack sure sleep
1957068585,neutral,20K_MILLIONAIRE,gay 200 tonight
1957068880,sadness,GarageGlamorous,oh i ok completely forget thirsty thursday oh gaga suck
1957069453,sadness,charubhashini,people wrong world blame people great world live shit
1957070273,surprise,courtneyyy3,nope sleep cuz live east coast
1957070484,neutral,harempriestess,bet cool so huh stop sweat noon dad pack
1957070534,sadness,jjae725,eww dislike
1957070786,worry,Jaydeyn,tactical mistake go city library buy milk know ouch ouch ouch maybe good thing try uni
1957070871,neutral,Bre_Baby,decide 2 tran from relaxed 2 natural hair wish head look like root age instant gratification
1957071331,sadness,only1lucylocket,sorry bout cat
1957071583,neutral,maica888,need increase salary
1957072308,worry,heyisabelle_,stomach feel like touch ground i'm
1957072400,love,kaboyd5,pug wake incredible sleep
1957072637,love,destinyhope92,can i wait hear new album i i sure amazing please replay love
1957072682,worry,anticlothes,soo work little time
1957072896,sadness,Jsskkaa,miss iron chef
1957073073,sadness,iRoy,is version suck
1957073201,sadness,Katja112,bad day
1957073668,enthusiasm,kort030,know ridiculous get hang love chicago want shop trip sound like fun
1957073753,hate,imayami,hate net yaw bumukas no twitter
1957073984,worry,GravesNovels,ugh internet
1957074101,surprise,Ms_MaryJane,omg it tweet today sadness
1957074214,worry,nurulz,feel giddy wanna home
1957074267,neutral,NACYBUL,week it adam lambert performance
1957074812,neutral,joslinjewels,link work
1957074977,worry,thewebguyuk,pack day youth camp
1957075035,neutral,chowcassendra,gossip girl come chacee
1957075180,neutral,SoundExecution,suh hiphop nursery rhyme
1957075229,worry,Chassidy72,somebody save polar bear
1957075268,happiness,mrs_mcsupergirl,noo look lot picture lol lol
1957075370,surprise,inimeg,sleepy bore right word work
1957075457,worry,ljslover,come attention 16yo friend recently gain ton weight know
1957075557,worry,Dreamofdragons,guess i stay home tonight movie ing
1957076048,sadness,hakeem,go ad store search ad
1957076214,worry,passionsista,remind weather month ago horrible hope hug
1957076433,sadness,sayble,miss mom quit may angel lead in quit
1957076450,love,brockm,android twitter app sweetie calibre
1957076577,hate,benfulghum,jacksonville beach walking cold ass water work morning ily it it
1957077528,neutral,KhoreoKat,
1957077552,sadness,krzy415,feel way day
1957077564,sadness,M_R_Barlow,sleep suck day sleep shop mom ugh
1957077934,neutral,MunjknMoe,get home till tow 530p comcast right it miss
1957078157,sadness,LoveRichele,sleppytime miss godfather right love wayne
1957078740,sadness,KayLove254,headache right suck
1957079130,worry,AmGies,hope ya sleeping guy
1957079355,fun,drugunter,finish color drawing come
1957079403,sadness,XonneL,laker baby laker miss game tmwr work post
1957079496,sadness,joanneliyeng,comfort food day pan mee it taste good
